"Tree_ID","ARST","CHDI","COTR","DITY","GAPR","HEAN","HEBA","HEMA","HEMI","HEPL","LALO","LYMO","MOAF","MOSU","NAME","NUBO","PSOR","PSPU","RHRO","TRMA","TRPL","TRVA","VAAL","NA.","diversity_shannon","diversity_simpson","abund","rich","extra_ground","category","Tree_species","DBH_cm","MHC_m","HOT_m","forest_type","dist_to_H2O_m","H2O_type","edge_category_m","edge_dist_m","med_hght","TotalAvgCan","CanMinus10","CanMinus5","Can0","CanPlus5","CanPlus10","AvgHerbCover","AvgLeafLayer","StemLess8cm","StemMore8cm"
"M1",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.636514168294813,0.444444444444444,3,2,"N","interior","Manilkara zanzibarensis",40.5,13.3,15.3,"M",NA,NA,500,NA,1,76.912,89.86,85.18,93.5,67.5,48.52,5.6,3.8,22,8
"M10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,"N","interior","Manilkara zanzibarensis",47,16.5,16.5,"M",NA,NA,500,NA,4,82.996,87.26,86.74,76.6,79.46,84.92,3.8,1.8,3,3
"M11",0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562335144618808,0.375,4,2,"N","interior","Manilkara zanzibarensis",25.4,14,16.5,"M",NA,NA,500,NA,NA,86.935,85.7,85.96,91.16,84.92,NA,3.05,1.8,6,7
"M11.100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"Y","interior",NA,NA,NA,NA,"M",NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M12",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,"N","interior","Hamenia verrucosum",26.9,12.5,13.5,"M",NA,NA,250,NA,7,84.79,75.56,85.18,91.68,86.74,NA,7.8,1,14,11
"M13",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,"N","edge","Hamenia verrucosum",74,17.3,17.3,"M",NA,NA,0,0,6,100,100,100,100,100,100,50,1.4,-2,6
"M14",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,"N","edge",NA,35,12.5,14.25,"M",NA,NA,0,2,NA,100,100,100,100,100,100,31,3.4,42,4
"M15",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,"N","edge",NA,52.5,15.65,17.65,"M",NA,NA,30,NA,6.5,100,100,100,100,100,100,7,2.6,26,2
"M15.100",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Y","edge",NA,NA,NA,NA,"M",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M16",0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.598269588585257,0.408163265306122,7,2,"N","edge","Hamenia verrucosum",61.4,18,20,"M",NA,NA,30,NA,8,100,100,100,100,100,100,10.5,1.8,6,6
"M17",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"N","edge",NA,40.5,14,16.75,"M",NA,NA,100,NA,NA,100,100,100,100,100,100,19,2.8,33,3
"M18",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.693147180559945,0.5,2,2,"N","interior",NA,48.4,14.18,15.18,"M",NA,NA,250,NA,NA,100,100,100,100,100,100,4.5,4,16,3
"M19",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.636514168294813,0.444444444444444,3,2,"N","interior","Hamenia verrucosum",35,16,18,"M",NA,NA,250,NA,11,100,100,100,100,100,100,11.8,2,10,7
"M2",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636514168294813,0.444444444444444,3,2,"N","interior",NA,38.5,11.9,14.8,"M",NA,NA,500,NA,4.75,89.288,94.54,85.7,76.6,92.98,96.62,8.4,2.4,7,8
"M20",0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1.03972077083992,0.625,4,3,"N","edge",NA,66.7,13.96,15.4,"M",NA,NA,100,NA,3,100,100,100,100,100,100,6,2.6,12,3
"M21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,"N","edge","Afzelia quanzensis",43.5,13.5,14,"M",NA,NA,100,NA,3.5,100,100,100,100,100,100,3,2.4,7,7
"M22",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.562335144618808,0.375,4,2,"N","edge",NA,61.7,14.5,17.5,"M",NA,NA,30,NA,4.6,100,100,100,100,100,100,21,2.8,11,4
"M23",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,"N",NA,"Hamenia verrucosum",39,12,14,"M",NA,NA,0,NA,1.5,100,100,100,100,100,100,0.4,2.8,76,10
"M24",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,"N",NA,"Hamenia verrucosum",50.5,12.8,14.8,"M",NA,NA,30,NA,3,100,100,100,100,100,100,42.7,2,80,5
"M25",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,1.03972077083992,0.625,4,3,"N",NA,"Manilkara zanzibarensis",33.6,14.3,17.2,"M",NA,NA,0,NA,7.5,100,100,100,100,100,100,3.2,2.6,65,2
"M26",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"N",NA,"Hamenia verrucosum",24,11.5,13,"M",NA,NA,250,NA,NA,100,100,100,100,100,100,1.7,2.4,84,11
"M27",0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1.03972077083992,0.625,4,3,"N",NA,"Hamenia verrucosum",34.5,11.5,11,"M",NA,NA,250,NA,1.5,100,100,100,100,100,100,0.3,2.4,35,19
"M28",0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562335144618808,0.375,4,2,"N",NA,"Manilkara zanzibarensis",58.4,13.8,17,"M",NA,NA,0,NA,10.385,85.44,87.52,88.56,86.48,87.26,77.38,24.4,3,35,5
"M29",0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.410116318288409,0.244897959183674,7,2,"N",NA,"Manilkara zanzibarensis",37.8,10,11.5,"M",NA,NA,100,NA,6,100,100,100,100,100,100,0.4,2.4,10,7
"M3",0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.33217904021012,0.72,5,4,"N","edge",NA,56,14.5,20,"M",NA,NA,0,5,12.15,83.516,89.6,75.56,80.76,79.46,92.2,11.8,2.8,33,12
"M30",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,"N",NA,"Hamenia verrucosum",36.5,14,15.2,"M",NA,NA,250,NA,9.6,100,100,100,100,100,100,1.7,2.8,62,7
"M31",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"N",NA,"Manilkara zanzibarensis",41.6,14.7,17,"M",NA,NA,0,NA,8.3,100,100,100,100,100,100,2.4,3.8,54,6
"M4",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,"N","edge",NA,36,17,20,"M",NA,NA,0,8,7.2,89.236,80.5,93.24,89.86,86.74,95.84,3.8,2.8,11,7
"M5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"N","edge","Hamenia verrucosum",34,NA,NA,"M",NA,NA,0,6,3.05,88.508,91.68,85.18,87.26,87.26,91.16,1.601,2.4,15,13
"M6",0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.01140426470735,0.611111111111111,6,3,"N","edge","Manilkara zanzibarensis",36.5,13.7,15.1,"M",NA,NA,30,39,1.5,90.692,93.5,93.76,92.46,90.9,82.84,2.103,2.8,18,15
