"Tree_ID","ARST","CHDI","COTR","DITY","GAPR","HEAN","HEBA","HEMA","HEMI","HEPL","LALO","LYMO","MOAF","MOSU","NAME","NUBO","PSOR","PSPU","RHRO","TRMA","TRPL","TRVA","VAAL","NA.","diversity_shannon","diversity_simpson","abund","rich","extra_ground","category","Tree_species","DBH_cm","MHC_m","HOT_m","forest_type","edge_category_m","edge_dist_m","med_hght","MedHghtPerc","TotalAvgCan","CanMinus10","CanMinus5","Can0","CanPlus5","CanPlus10","AvgHerbCover","AvgLeafLayer","StemLess8cm","StemMore8cm","BasalArea","Debris","lat","lon"
"CY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"N","interior",NA,28.5,10.4,10.5,"CY",500,NA,NA,NA,77.692,76.6,82.06,80.24,79.2,70.36,5.5,2.8,23,3,30,2,-3.436973,39.814139
"CY1.100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Y","interior","Cynometra webberi",NA,NA,NA,"CY",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CY10",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"N","edge",NA,35.5,9.6,11.6,"CY",30,NA,NA,NA,80.864,86.22,87.26,88.3,69.58,72.96,10.5,2.2,15,3,20,1,-3.430272,39.810879
"CY11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"N","interior","Cynometra webberi",29.5,9.5,10,"CY",250,NA,NA,NA,79.2,77.9,81.28,73.48,90.64,72.7,1.7,2.2,83,3,100,5,-3.438599,39.812073
"CY12",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.636514168294813,0.444444444444444,3,2,"N","interior","Cynometra webberi",28.3,9,10,"CY",250,NA,NA,NA,77.64,83.36,65.16,75.04,87,NA,15.6,2,58,12,120,6,-3.439749,39.811919
"CY13",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.693147180559945,0.5,2,2,"N",NA,"Cynometra webberi",22.9,8.3,10,"CY",NA,NA,2.75,0.275,NA,NA,NA,NA,NA,NA,16.2,2,69,10,100,2,-3.43962,39.81119
"CY13.100",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Y",NA,NA,NA,NA,NA,"CY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CY2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"N","interior",NA,22,9.4,11,"CY",500,NA,NA,NA,71.192,74.78,72.18,77.38,67.24,64.38,11,2.4,23,3,60,NA,-3.438042,39.814212
"CY3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"N","interior",NA,28.4,9.7,11.7,"CY",500,NA,NA,NA,73.168,64.9,77.64,75.82,77.38,70.1,4.5,2.8,19,4,70,2,-3.438857,39.813986
"CY4",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.5,2,2,"N","interior","Cynometra webberi",25.2,9.3,10.8,"CY",250,NA,4,0.37037037037037,88.82,94.28,88.04,88.04,85.96,87.78,9.8,2,29,8,150,10,-3.439733,39.813408
"CY5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"N","interior","Cynometra webberi",28.3,9.5,9.9,"CY",250,NA,NA,NA,82.424,80.24,83.88,77.12,92.46,78.42,1.8,3,93,2,190,0,-3.440795,39.813209
"CY6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"N","edge","Cynometra webberi",26,10,10.3,"CY",0,NA,NA,NA,87.728,87.26,82.58,92.46,85.96,90.38,0.3,1.4,77,10,120,4,-3.431375,39.810325
"CY7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"N","edge","Cynometra webberi",32,10.5,10.5,"CY",30,NA,1.5,0.142857142857143,81.748,70.1,90.9,86.74,70.1,90.9,0.5,1.6,62,14,160,10,-3.431593,39.810699
"CY8",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"N","edge",NA,33.3,11,12.5,"CY",0,NA,7.25,0.58,52.316,57.88,26.68,57.62,48.26,71.14,37.5,1.6,19,1,40,3,-3.429172,39.810491
"CY9",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0.636514168294813,0.444444444444444,3,2,"N","edge",NA,36.3,12,13,"CY",0,NA,7.5,0.576923076923077,83.204,77.64,69.58,86.48,90.64,91.68,14,3.2,16,4,40,1,-3.430267,39.810509
"MAT_CY10",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0.673011667009257,0.48,5,2,"N","matrix",NA,NA,NA,NA,"CY",-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT_CY6",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.693147180559945,0.5,4,2,"N","matrix",NA,NA,NA,NA,"CY",-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT_CY7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,1,"N","matrix",NA,NA,NA,NA,"CY",-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT_CY8",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0.636514168294813,0.444444444444444,3,2,"N","matrix",NA,NA,NA,NA,"CY",-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT_CY9",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.5,2,2,"N","matrix",NA,NA,NA,NA,"CY",-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
