"","LoggerNumber","DateTime","TempC","RH","DewPTC","Tree_ID","Strata"
"1",2,2018-05-26 10:33:00,27.358,92.831,25.906,"BR1","Understory"
"2",2,2018-05-26 10:36:00,27.308,92.791,25.85,"BR1","Understory"
"3",2,2018-05-26 10:39:00,27.259,92.532,25.759,"BR1","Understory"
"4",2,2018-05-26 10:42:00,27.235,93.02,25.814,"BR1","Understory"
"5",2,2018-05-26 10:45:00,27.186,93.036,25.767,"BR1","Understory"
"6",2,2018-05-26 10:48:00,27.358,93.27,25.977,"BR1","Understory"
"7",2,2018-05-26 10:51:00,27.604,93.331,26.232,"BR1","Understory"
"8",2,2018-05-26 10:54:00,27.751,93.258,26.367,"BR1","Understory"
"9",2,2018-05-26 10:57:00,27.899,93.212,26.507,"BR1","Understory"
"10",2,2018-05-26 11:00:00,28.072,93.007,26.646,"BR1","Understory"
"11",2,2018-05-26 11:03:00,28.394,91.759,26.761,"BR1","Understory"
"12",2,2018-05-26 11:06:00,28.493,86.966,26.037,"BR1","Understory"
"13",2,2018-05-26 11:09:00,28.593,87.384,26.209,"BR1","Unclassified"
"14",2,2018-05-26 11:12:00,28.568,84.682,25.7,"BR1","Unclassified"
"15",2,2018-05-26 11:15:00,28.468,84.146,25.505,"BR1","Mid"
"16",2,2018-05-26 11:18:00,28.568,87.802,26.258,"BR1","Mid"
"17",2,2018-05-26 11:21:00,28.717,83.943,25.711,"BR1","Mid"
"18",2,2018-05-26 11:24:00,28.866,88.265,26.633,"BR1","Unclassified"
"19",2,2018-05-26 11:27:00,29.04,81.131,25.5,"BR1","Unclassified"
"20",2,2018-05-26 11:30:00,29.165,82.776,25.934,"BR1","Canopy"
"21",2,2018-05-26 11:33:00,29.19,82.435,25.894,"BR1","Canopy"
"22",2,2018-05-26 11:36:00,29.24,80.709,25.614,"BR1","Canopy"
"23",2,2018-05-26 11:39:00,29.19,79.592,25.348,"BR1","Unclassified"
"24",2,2018-05-26 11:42:00,29.19,78.774,25.186,"BR1","Unclassified"
"25",2,2018-05-26 11:45:00,29.215,80.442,25.538,"BR1","Unclassified"
"26",2,2018-05-26 11:48:00,29.09,89.021,26.987,"BR1","Unclassified"
"27",2,2018-05-26 20:30:00,25.963,92.379,24.444,"BR1","Understory"
"28",2,2018-05-26 20:33:00,25.914,92.367,24.394,"BR1","Understory"
"29",2,2018-05-26 20:36:00,25.817,92.616,24.337,"BR1","Understory"
"30",2,2018-05-26 20:39:00,25.574,92.174,24.024,"BR1","Understory"
"31",2,2018-05-26 20:42:00,25.331,92.333,23.808,"BR1","Understory"
"32",2,2018-05-26 20:45:00,25.137,92.613,23.66,"BR1","Understory"
"33",2,2018-05-26 20:48:00,24.992,92.577,23.509,"BR1","Understory"
"34",2,2018-05-26 20:51:00,24.823,92.617,23.347,"BR1","Understory"
"35",2,2018-05-26 20:54:00,24.677,92.717,23.218,"BR1","Understory"
"36",2,2018-05-26 20:57:00,24.532,92.736,23.077,"BR1","Understory"
"37",2,2018-05-26 21:00:00,24.388,92.754,22.936,"BR1","Understory"
"38",2,2018-05-26 21:03:00,24.267,92.751,22.815,"BR1","Understory"
"39",2,2018-05-26 21:06:00,24.146,92.749,22.695,"BR1","Unclassified"
"40",2,2018-05-26 21:09:00,24.002,92.767,22.554,"BR1","Unclassified"
"41",2,2018-05-26 21:12:00,23.905,92.852,22.471,"BR1","Unclassified"
"42",2,2018-05-26 21:15:00,23.761,92.843,22.326,"BR1","Mid"
"43",2,2018-05-26 21:18:00,23.665,92.846,22.23,"BR1","Mid"
"44",2,2018-05-26 21:21:00,23.641,92.84,22.206,"BR1","Mid"
"45",2,2018-05-26 21:24:00,23.593,92.882,22.164,"BR1","Mid"
"46",2,2018-05-26 21:27:00,23.569,92.93,22.148,"BR1","Unclassified"
"47",2,2018-05-26 21:30:00,23.593,93.099,22.198,"BR1","Canopy"
"48",2,2018-05-26 21:33:00,23.617,93.213,22.24,"BR1","Canopy"
"49",2,2018-05-26 21:36:00,23.665,93.603,22.349,"BR1","Canopy"
"50",2,2018-05-26 21:39:00,23.881,95.111,22.798,"BR1","Unclassified"
"51",2,2018-05-26 21:42:00,24.026,94.449,22.841,"BR1","Unclassified"
"52",2,2018-05-26 21:45:00,24.098,94.629,22.941,"BR1","Unclassified"
"53",1,2018-05-31 10:45:00,27.801,89.251,25.749,"BR10","Understory"
"54",1,2018-05-31 10:48:00,27.801,89.949,25.868,"BR10","Understory"
"55",1,2018-05-31 10:51:00,27.85,92.29,26.307,"BR10","Understory"
"56",1,2018-05-31 10:54:00,27.899,90.14,25.998,"BR10","Understory"
"57",1,2018-05-31 10:57:00,28.023,95.759,27.038,"BR10","Understory"
"58",1,2018-05-31 11:00:00,28.072,91.015,26.317,"BR10","Understory"
"59",1,2018-05-31 11:03:00,28.097,86.225,25.515,"BR10","Understory"
"60",1,2018-05-31 11:06:00,28.122,84.839,25.29,"BR10","Understory"
"61",1,2018-05-31 11:09:00,28.171,87.682,25.845,"BR10","Understory"
"62",1,2018-05-31 11:12:00,28.221,85.373,25.484,"BR10","Understory"
"63",1,2018-05-31 11:15:00,28.27,82.41,24.988,"BR10","Understory"
"64",1,2018-05-31 11:18:00,28.369,81.74,24.959,"BR10","Understory"
"65",1,2018-05-31 11:21:00,28.543,79.167,24.633,"BR10","Unclassified"
