"Plot Title: 16_20136766"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20136766, SEN S/N: 20136766)","Coupler Attached (LGR S/N: 20136766)","Host Connected (LGR S/N: 20136766)","Stopped (LGR S/N: 20136766)","End Of File (LGR S/N: 20136766)"
1,05/26/18 10:00:00 AM,27.173,,,,
2,05/26/18 10:10:00 AM,27.468,,,,
3,05/26/18 10:20:00 AM,27.567,,,,
4,05/26/18 10:30:00 AM,27.665,,,,
5,05/26/18 10:40:00 AM,27.764,,,,
6,05/26/18 10:50:00 AM,28.060,,,,
7,05/26/18 11:00:00 AM,27.370,,,,
8,05/26/18 11:10:00 AM,27.272,,,,
9,05/26/18 11:20:00 AM,28.060,,,,
10,05/26/18 11:30:00 AM,28.555,,,,
11,05/26/18 11:40:00 AM,28.853,,,,
12,05/26/18 11:50:00 AM,29.053,,,,
13,05/26/18 12:00:00 PM,29.452,,,,
14,05/26/18 12:10:00 PM,29.352,,,,
15,05/26/18 12:20:00 PM,29.053,,,,
16,05/26/18 12:30:00 PM,28.555,,,,
17,05/26/18 12:40:00 PM,27.272,,,,
18,05/26/18 12:50:00 PM,26.292,,,,
19,05/26/18 01:00:00 PM,25.902,,,,
20,05/26/18 01:10:00 PM,26.292,,,,
21,05/26/18 01:20:00 PM,26.488,,,,
22,05/26/18 01:30:00 PM,26.097,,,,
23,05/26/18 01:40:00 PM,26.292,,,,
24,05/26/18 01:50:00 PM,26.683,,,,
25,05/26/18 02:00:00 PM,27.075,,,,
26,05/26/18 02:10:00 PM,27.468,,,,
27,05/26/18 02:20:00 PM,27.075,,,,
28,05/26/18 02:30:00 PM,26.585,,,,
29,05/26/18 02:40:00 PM,26.097,,,,
30,05/26/18 02:50:00 PM,25.805,,,,
31,05/26/18 03:00:00 PM,25.610,,,,
32,05/26/18 03:10:00 PM,25.513,,,,
33,05/26/18 03:20:00 PM,24.738,,,,
34,05/26/18 03:30:00 PM,24.351,,,,
35,05/26/18 03:40:00 PM,24.158,,,,
36,05/26/18 03:50:00 PM,23.773,,,,
37,05/26/18 04:00:00 PM,23.773,,,,
38,05/26/18 04:10:00 PM,23.966,,,,
39,05/26/18 04:20:00 PM,24.062,,,,
40,05/26/18 04:30:00 PM,24.062,,,,
41,05/26/18 04:40:00 PM,24.062,,,,
42,05/26/18 04:50:00 PM,23.966,,,,
43,05/26/18 05:00:00 PM,23.966,,,,
44,05/26/18 05:10:00 PM,23.869,,,,
45,05/26/18 05:20:00 PM,23.773,,,,
46,05/26/18 05:30:00 PM,23.677,,,,
47,05/26/18 05:40:00 PM,23.677,,,,
48,05/26/18 05:50:00 PM,23.677,,,,
49,05/26/18 06:00:00 PM,23.677,,,,
50,05/26/18 06:10:00 PM,23.677,,,,
51,05/26/18 06:20:00 PM,23.677,,,,
52,05/26/18 06:30:00 PM,23.677,,,,
53,05/26/18 06:40:00 PM,23.677,,,,
54,05/26/18 06:50:00 PM,23.581,,,,
55,05/26/18 07:00:00 PM,23.484,,,,
56,05/26/18 07:10:00 PM,23.484,,,,
57,05/26/18 07:20:00 PM,23.484,,,,
58,05/26/18 07:30:00 PM,23.388,,,,
59,05/26/18 07:40:00 PM,23.292,,,,
60,05/26/18 07:50:00 PM,23.196,,,,
61,05/26/18 08:00:00 PM,23.100,,,,
62,05/26/18 08:10:00 PM,23.004,,,,
63,05/26/18 08:20:00 PM,22.908,,,,
64,05/26/18 08:30:00 PM,22.908,,,,
65,05/26/18 08:40:00 PM,22.908,,,,
66,05/26/18 08:50:00 PM,22.812,,,,
