"Plot Title: 18"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 10951432, SEN S/N: 10951432)","Coupler Attached (LGR S/N: 10951432)","Host Connected (LGR S/N: 10951432)","Stopped (LGR S/N: 10951432)"
1,05/26/18 10:00:00 AM,28.853,,,
2,05/26/18 10:10:00 AM,28.953,,,
3,05/26/18 10:20:00 AM,29.152,,,
4,05/26/18 10:30:00 AM,29.252,,,
5,05/26/18 10:40:00 AM,29.352,,,
6,05/26/18 10:50:00 AM,29.452,,,
7,05/26/18 11:00:00 AM,29.552,,,
8,05/26/18 11:10:00 AM,29.652,,,
9,05/26/18 11:20:00 AM,29.752,,,
10,05/26/18 11:30:00 AM,29.853,,,
11,05/26/18 11:40:00 AM,29.953,,,
12,05/26/18 11:50:00 AM,30.054,,,
13,05/26/18 12:00:00 PM,30.054,,,
14,05/26/18 12:10:00 PM,30.154,,,
15,05/26/18 12:20:00 PM,30.154,,,
16,05/26/18 12:30:00 PM,30.154,,,
17,05/26/18 12:40:00 PM,30.154,,,
18,05/26/18 12:50:00 PM,30.154,,,
19,05/26/18 01:00:00 PM,30.154,,,
20,05/26/18 01:10:00 PM,30.154,,,
21,05/26/18 01:20:00 PM,30.255,,,
22,05/26/18 01:30:00 PM,30.356,,,
23,05/26/18 01:40:00 PM,30.356,,,
24,05/26/18 01:50:00 PM,30.356,,,
25,05/26/18 02:00:00 PM,30.255,,,
26,05/26/18 02:10:00 PM,30.255,,,
27,05/26/18 02:20:00 PM,30.154,,,
28,05/26/18 02:30:00 PM,30.054,,,
29,05/26/18 02:40:00 PM,29.953,,,
30,05/26/18 02:50:00 PM,29.853,,,
31,05/26/18 03:00:00 PM,29.652,,,
32,05/26/18 03:10:00 PM,29.552,,,
33,05/26/18 03:20:00 PM,29.452,,,
34,05/26/18 03:30:00 PM,29.252,,,
35,05/26/18 03:40:00 PM,29.152,,,
36,05/26/18 03:50:00 PM,29.053,,,
37,05/26/18 04:00:00 PM,28.853,,,
38,05/26/18 04:10:00 PM,28.754,,,
39,05/26/18 04:20:00 PM,28.555,,,
40,05/26/18 04:30:00 PM,28.456,,,
41,05/26/18 04:40:00 PM,28.357,,,
42,05/26/18 04:50:00 PM,28.159,,,
43,05/26/18 05:00:00 PM,28.060,,,
44,05/26/18 05:10:00 PM,27.961,,,
45,05/26/18 05:20:00 PM,27.862,,,
46,05/26/18 05:30:00 PM,27.764,,,
47,05/26/18 05:40:00 PM,27.665,,,
48,05/26/18 05:50:00 PM,27.567,,,
49,05/26/18 06:00:00 PM,27.468,,,
50,05/26/18 06:10:00 PM,27.370,,,
51,05/26/18 06:20:00 PM,27.272,,,
52,05/26/18 06:30:00 PM,27.173,,,
53,05/26/18 06:40:00 PM,27.075,,,
54,05/26/18 06:50:00 PM,27.075,,,
55,05/26/18 07:00:00 PM,26.977,,,
56,05/26/18 07:10:00 PM,26.781,,,
57,05/26/18 07:20:00 PM,26.585,,,
58,05/26/18 07:30:00 PM,26.390,,,
