"Plot Title: 4_20127464"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20127464, SEN S/N: 20127464)","Max: Temperature, °C (LGR S/N: 20127464)","Min: Temperature, °C (LGR S/N: 20127464)","Avg: Temperature, °C (LGR S/N: 20127464)","Avg: Temperature, °C (LGR S/N: 20127464)","Coupler Attached (LGR S/N: 20127464)","Host Connected (LGR S/N: 20127464)","Coupler Detached (LGR S/N: 20127464)","Stopped (LGR S/N: 20127464)","End Of File (LGR S/N: 20127464)"
1,05/26/18 12:00:00 AM,,29.552,25.319,27.610,,,,,,
2,05/26/18 10:00:00 AM,28.754,,,,28.920,,,,,
3,05/26/18 10:10:00 AM,28.853,,,,,,,,,
4,05/26/18 10:20:00 AM,28.853,,,,,,,,,
5,05/26/18 10:30:00 AM,28.953,,,,,,,,,
6,05/26/18 10:40:00 AM,29.053,,,,,,,,,
7,05/26/18 10:50:00 AM,29.053,,,,,,,,,
8,05/26/18 11:00:00 AM,29.152,,,,29.252,,,,,
9,05/26/18 11:10:00 AM,29.152,,,,,,,,,
10,05/26/18 11:20:00 AM,29.252,,,,,,,,,
11,05/26/18 11:30:00 AM,29.252,,,,,,,,,
12,05/26/18 11:40:00 AM,29.352,,,,,,,,,
13,05/26/18 11:50:00 AM,29.352,,,,,,,,,
14,05/26/18 12:00:00 PM,29.452,,,,29.452,,,,,
15,05/26/18 12:10:00 PM,29.452,,,,,,,,,
16,05/26/18 12:20:00 PM,29.452,,,,,,,,,
17,05/26/18 12:30:00 PM,29.452,,,,,,,,,
18,05/26/18 12:40:00 PM,29.452,,,,,,,,,
19,05/26/18 12:50:00 PM,29.452,,,,,,,,,
20,05/26/18 01:00:00 PM,29.452,,,,29.469,,,,,
21,05/26/18 01:10:00 PM,29.452,,,,,,,,,
22,05/26/18 01:20:00 PM,29.452,,,,,,,,,
23,05/26/18 01:30:00 PM,29.552,,,,,,,,,
24,05/26/18 01:40:00 PM,29.452,,,,,,,,,
25,05/26/18 01:50:00 PM,29.452,,,,,,,,,
26,05/26/18 02:00:00 PM,29.452,,,,29.335,,,,,
27,05/26/18 02:10:00 PM,29.452,,,,,,,,,
28,05/26/18 02:20:00 PM,29.352,,,,,,,,,
29,05/26/18 02:30:00 PM,29.352,,,,,,,,,
30,05/26/18 02:40:00 PM,29.252,,,,,,,,,
31,05/26/18 02:50:00 PM,29.152,,,,,,,,,
32,05/26/18 03:00:00 PM,29.152,,,,28.820,,,,,
33,05/26/18 03:10:00 PM,29.053,,,,,,,,,
34,05/26/18 03:20:00 PM,28.853,,,,,,,,,
35,05/26/18 03:30:00 PM,28.754,,,,,,,,,
36,05/26/18 03:40:00 PM,28.655,,,,,,,,,
37,05/26/18 03:50:00 PM,28.456,,,,,,,,,
38,05/26/18 04:00:00 PM,28.357,,,,28.093,,,,,
39,05/26/18 04:10:00 PM,28.258,,,,,,,,,
40,05/26/18 04:20:00 PM,28.159,,,,,,,,,
41,05/26/18 04:30:00 PM,28.060,,,,,,,,,
