"","survey type","X__1","X__2","X__3","variable","WTF","type_of_variable"
"1","C","1hr canopy survey","NA","NA","0","no wind","wind"
"2","G","30min roaming ground survey","NA","NA","1","slight_seen in smoke","wind"
"3","NA","NA","NA","NA","2","slight_seen in smoke","wind"
"4","survey part","G,U,M,C,R","NA","NA","3","slight_seen in smoke","wind"
"5","CG=ground","canopy survey-Ground","ground","NA","4","light_felt on face","wind"
"6","CU=understory","canopy survey-understory","1-4m","NA","5","light_felt on face","wind"
"7","CM=mid story","canopy survey-mid","mid height of climb","NA","6","light_felt on face","wind"
"8","CC= canopy","Canopy survey-canopy","top","NA","7","gentle wind_leaves move constantly","wind"
"9","CR= roaming","Canopy survey-Roaming","anywhere between","NA","8","gentle wind_leaves move constantly","wind"
"10","NA","NA","NA","NA","9","gentle wind_leaves move constantly","wind"
"11","distnnce from C","NA","NA","NA","10","gentle wind_leaves move constantly","wind"
"12","distance from rope","NA","NA","NA","11","moderate breeze_brances move constantly","wind"
"13","NA","fores_type","NA","NA","12","moderate breeze_brances move constantly","wind"
"14","substrate","CY-Cynometera","NA","NA","13","moderate breeze_brances move constantly","wind"
"15","substrate it is on","BR- Brachystegia","NA","NA","JBB","Jesse Borden","observer"
"16","NA","M-mixed","NA","NA","GP","Godana Peter","observer"
"17","MHC","NA","NA","NA","GB","Gilles Bernard","observer"
"18","Max height climbed","NA","NA","NA","distance_from_C","distance_to_rope","data_sheet_lable"
"19","NA","NA","NA","NA","substrate","substrate animal is on","data_sheet_lable"
"20","HOT","NA","NA","NA","MHC","max height climbed","data_sheet_lable"
"21","total height of tree","NA","NA","NA","HOT","height of tree","data_sheet_lable"
"22","NA","NA","NA","NA","lat","lattitude","data_sheet_lable"
"23","NA","NA","NA","NA","long","longitude","data_sheet_lable"
"24","NA","NA","NA","NA","survey type","canopy or ground survey","data_sheet_lable"
"25","lat","NA","NA","NA","CG","ground of canopy survey(0m)","survey_strata"
"26","latitude","Observers","NA","NA","CU","understory of canopy survey(2-4m)","survey_strata"
"27","NA","JBB- Jesse Borden","NA","NA","CM","middle of canopy survey(midway)","survey_strata"
"28","long","GB- Gilles Bernard","NA","NA","CC","top of canopy survey(top)","survey_strata"
"29","longitude","NA","NA","NA","CR","roaming of canopy survey(anywhere)","survey_strata"
"30","NA","NA","NA","NA","NA","NA","NA"
"31","Wind","NA","NA","NA","NA","NA","NA"
"32","o= no wind","NA","NA","NA","NA","NA","NA"
"33","1-3= slight breeze, seen in smoke","NA","NA","NA","NA","NA","NA"
"34","4-6= light breeze, felt on face","NA","NA","NA","NA","NA","NA"
"35","7-10= gentle wind, leaves moving constantly and light flags held out","NA","NA","NA","NA","NA","NA"
"36","11-13=moderate breeze moves branches","NA","NA","NA","NA","NA","NA"
"37","14-15= trees move","NA","NA","NA","NA","NA","NA"
"38","NA","NA","NA","NA","NA","NA","NA"
"39","Edge catagories","NA","NA","NA","NA","NA","NA"
"40","0 = 0m ± 10m","NA","NA","NA","NA","NA","NA"
"41","30 = 30m ± 10m","NA","NA","NA","NA","NA","NA"
"42","100 = 100m ± 10m","NA","NA","NA","NA","NA","NA"
"43","250 = 250 ± 10m","NA","NA","NA","NA","NA","NA"
"44","500 = 500m ± 10m","NA","NA","NA","NA","NA","NA"
