"Tree_ID","extra_ground","category","Tree_species","DBH_cm","MHC_m","HOT_m","forest_type","edge_category_m","edge_dist_m","notes"
"BR1","N","interior","Brachystegia spiciformis","68.5","12.6","14.6","BR","500","NA","tree species†: Mrihi"
"BR10","N","NA","Brachystegia spiciformis","77.25","15","17.5","BR","100","NA","2 debris were freshly cut by people"
"BR11","N","edge","Brachystegia spiciformis","44.6","15","18","BR","0","NA","NA"
"BR12","N","edge","NA","73","15.3","17","BR","0","NA","NA"
"BR12.100","Y","edge","NA","NA","NA","NA","BR","0","NA","NA"
"BR13","N","edge","NA","NA","16.3","19","BR","30","NA","NA"
"BR13.100","Y","edge","NA","NA","NA","NA","BR","30","NA","NA"
"BR14","N","edge","Brachystegia spiciformis","48.4","17","19","BR","30","NA","elphant tracks, but not recent / lots of creepers"
"BR15","N","edge","NA","36.200000000000003","16.399999999999999","19.399999999999999","BR","100","NA","NA"
"BR16","N","interior","NA","54.3","12.3","14.8","BR","250","NA","NA"
"BR16.100","Y","interior","NA","NA","NA","NA","BR","250","NA","NA"
"BR17","N","interior","Brachystegia spiciformis","63","24","25","BR","250","NA","NA"
"BR18","N","edge","NA","39.4","13","15.5","BR","100","NA","lots of logs on ground, dense grass"
"BR18.100","Y","edge","NA","NA","NA","NA","BR","100","NA","NA"
"BR19","N","edge","Brachystegia spiciformis","48.5","15","19","BR","100","NA","NA"
"BR2","N","interior","Brachystegia spiciformis","55.5","13","15","BR","500","NA","tree species†: Mrihi"
"BR20","N","edge","Combretum sp.","32.5","12","12","BR","0","NA","NA"
"BR21","N","NA","Brachystegia spiciformis","66.8","17.5","19","BR","30","NA","NA"
"BR22","N","NA","Brachystegia spiciformis","83","16.5","19","BR","30","NA","NA"
"BR23","N","NA","Balanites wilsoniana","58","16","18","BR","500","NA","NA"
"BR24","N","NA","Brachystegia spiciformis","61","15","17","BR","250","NA","NA"
"BR25","N","NA","Brachystegia spiciformis","74","14.8","18","BR","250","NA","NA"
"BR26","N","NA","Brachystegia spiciformis","61.7","14.5","17","BR","0","NA","NA"
"BR27","N","NA","Brachystegia spiciformis","76.5","17","19","BR","250","NA","NA"
"BR28","N","NA","Brachystegia spiciformis","53","18","21","BR","100","NA","NA"
"BR29","N","NA","Brachystegia spiciformis","68","NA","NA","BR","250","NA","NA"
